,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.01,-13,4.14,0.39,0.7,-0.13,0.19,0.05,1.01
1,-0.38,-14.27,4.2,0.62,-5.66,-1.44,0.15,0.03,1.01
2,0.31,-14.01,4.18,0.33,0.07,1.18,0.15,0.03,1.04
3,0.62,-22.88,4.96,3.53,-35.69,2.39,0.39,0.05,1.5
4,-2.6,-36.53,-26.01,-128.76,-66.97,-10,-0.6,0.39,0.26
5,-9.6,-12.51,-40.91,-53.71,90.44,-37.2,0.01,-0.76,0.38
6,15.27,-9.23,6.27,184.98,15.06,58.94,0.52,-0.24,1.13
7,1.12,-11.73,16.45,36.15,-10.69,4.01,0,0.37,1.14
8,-1.23,-23.23,29.4,53.54,-47.73,-4.76,0.07,0.21,1.6
9,-29,-52.76,-25.25,-223.22,-116.74,-1,0.25,0.39,-0.06
10,18.7,-99.89,-39.2,-54.51,-202.93,72,-0.68,-0.77,0.86
11,-1.28,-112.66,7.76,183.74,-66.17,-4.9,0.14,-0.25,1.22
12,3.69,-108.2,9.93,9.3,2.24,14.25,0.3,0.08,1.09
13,2.19,-76.68,8.13,-7.85,107.98,8.47,-0.24,0.38,1.55
14,-13,-124.83,-37.85,-177.76,-198.42,-5,0.54,-0.44,-0.25
15,3.5,-113.48,-31.99,19.72,30.3,13.68,0.67,-0.33,1.1
16,-0.36,-93.79,13.21,178.62,62.32,-1.4,0.17,-0.25,1.12
17,2.5,-81.14,19.27,34.14,-66.04,-25.8,-0.06,0.3,1.1
18,-6.73,-94.18,27.26,-213.55,-62.35,-84,-0.13,0.15,1.44
19,-21,-105.02,-24.23,-21.18,-0.82,-27.7,-0.37,0.9,0.07
20,-7,-100.81,-31.89,186.32,18.53,12.42,-0.07,-0.75,0.05
21,3.22,-93.01,15.48,21.06,14.08,-18.77,0.47,-0.13,1.21
22,-4.88,-85.76,20.61,47.98,-40.62,-11.4,-0.01,0.25,1.17
23,-2.97,-92.41,32.22,-245.54,-47.5,31,-0.01,0.35,1.57
24,8.1,-102.44,-28.88,-50.37,34.96,-45.5,0.53,0.37,0.31
25,-11,-89.51,-42.33,119.89,-29.05,8.76,-0.05,-0.88,0.72
26,2.27,-93.62,-11.37,43.32,-1.04,-14.78,0.23,-0.26,1.06
27,-3.84,-90.5,0.58,53.59,10.97,-8.88,0.2,0.38,1.22
28,-2.3,-84.37,14.13,-248.7,-119.3,-1,0.15,0.17,1.51
29,-43,-109.21,-46.41,-36.76,-110.22,-4,-0.5,0.62,0.3
30,6.34,-121.46,-8.5,166.69,23.85,22.64,0.74,-1.26,0
31,5.66,-118.01,11.1,75.98,-5.85,21.85,0.22,-0.71,1.04
32,-3,-102.87,13.73,9.48,38.95,-11.64,0.22,-0.22,1.15
33,-17,-130.23,-40.73,-225.83,-131.52,-6,-0.02,0.18,1.13
34,-7.9,-99.37,-49.77,-33.22,97.83,-28.4,-0.53,0.54,1.61
35,15.5,-84.46,-19.67,113.79,43.88,59.85,-0.37,0.61,0.17
36,0.32,-65.16,12.32,124.81,61.6,1.24,0.39,-0.96,0.93
37,4.89,-51.99,9.25,-12.16,38.89,18.86,0.01,-0.15,1.15
38,0.43,-40.04,36.96,110.61,42.38,1.66,-0.32,0.09,1.18
39,-35,-15.51,-19.37,-212.34,97.21,-137,-0.41,0.21,0.98
40,9.51,2.19,-15.09,20.17,71.66,36.7,0.38,0.33,1.24
41,9.67,5.62,18.64,136.47,16.3,37.34,0.26,-0.35,-0.2
42,4.86,11.48,21.05,10.89,24.21,18.75,0.42,-0.81,0.96
43,7.4,25.4,43.25,89.47,54.1,28.45,0.23,-0.34,0.91
44,-20.1,-0.65,-17.41,-241.01,-107.65,-7,-0.03,0.23,1.16
45,1.9,-17.71,-24.05,-23.62,-70.43,7.32,-0.48,0.39,1.12
46,17.88,-2.12,12.98,147.49,59.85,69.03,-0.12,0.09,-0.08
47,-0.58,-5.15,26.92,56.51,-13.47,-2.24,-0.2,-0.63,0.83
48,-5.21,-8.49,23,-14.29,-13.51,-20,0,-0.31,1.14
