,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.16,-54.53,-41.34,-7.28,-4.82,3.05,0.33,-0.96,-0.07
1,-3.2,-49.83,-44.89,-8.66,12.04,-11.45,0.32,-0.98,-0.04
2,0.26,-48.89,-45.89,0.23,-1.37,1,0.31,-0.95,-0.08
3,0.51,-48.15,-47.74,-3.27,-1.98,1.97,0.31,-0.97,-0.06
4,-29,-40.61,-44.38,17.05,25.74,-112.2,0.46,-1.29,-0.1
5,-30.6,21.61,-17.81,22.37,107.91,-55.5,0.07,-0.33,0.88
6,-14.38,47.43,-9.89,-110.26,-26.03,69,0.48,0.03,-0.79
7,19.43,38.31,-40.49,20.92,5.92,5.26,0.37,-0.17,1.23
8,1.36,38.09,-34.48,-66.64,-57.75,-31,0.42,-0.05,0.37
9,-21,-28.77,-30.21,-20.36,250.13,40.9,0.68,-0.17,-0.67
10,-0.01,21.15,0,-45.15,23.32,30.89,0.73,0.37,-1.07
11,-8,-43.23,-45.49,30.74,-250.14,-78,0.96,-0.13,0.05
12,2.54,-56.05,-11.55,-57.21,-100.79,-45,0.71,-0.18,-0.72
13,10.61,6.47,-16,3.84,5.86,26.5,0.36,0.38,-1.01
14,8.65,38,-19.26,12.27,-250.14,-40,0.2,-0.57,0.82
15,-20,-25,-16.55,-81.05,-79.21,-48,-0.06,-0.38,0.86
16,-11,-50.84,-30.5,40.6,-66.63,1.92,0.93,0.12,-0.9
17,2.51,-45.45,-14.85,7.49,-28.34,-1.92,0.27,0.15,0.84
18,15.21,15,-19.68,-46.12,23,37.06,0.28,-0.18,1.16
19,-3.14,13.88,-22.92,16.53,-79.49,-15.9,0.02,-0.54,0.73
20,-12,-71.73,-39.03,-29.09,-35.19,-5.3,0.13,-0.25,0.66
21,0.5,-86.4,-26.53,17.7,250.13,50.08,7,0,0
22,-0.5,-90.73,-22.83,-0.96,183.33,-0.09,0.44,0.35,-1.01
23,29.3,-23.53,-28.75,-4.69,24.11,16.42,0.25,-0.23,-0.11
24,9.6,-7.63,-29.76,-35.9,11.02,28.48,0.22,0.24,1.14
25,-4.1,-26.95,-25.41,33.07,-250.14,-60,0.26,-0.65,0.82
26,-14,-90.55,-32.26,-91.98,-191.83,-63,-0.04,-0.46,0.8
27,-1.3,-97.06,-38.19,-14.51,250.13,81.1,0.4,0.16,-1.02
28,4.25,8.18,-13.31,31.28,49.85,-11.66,0.19,0.07,1.25
29,7.38,10.54,-23.17,-66.32,31.92,45.34,-0.06,-0.39,0.88
30,-15,-52.48,-14.82,3.11,0,0,0.82,-0.14,-0.3
31,-16,-100.36,-37.58,48.69,-47.79,17.69,0.57,-0.07,-0.75
32,2.3,-109.3,-15.43,38.7,77.5,-13.52,0.66,0.17,-1.08
33,-3,-30.79,-10.97,-55.35,11.93,50.97,0.88,0.16,-0.59
34,11.7,-22.18,-28.51,82.96,-56.82,19.34,9,-32.37,-9.37
35,-2.6,-20.46,-23.22,3.77,230.5,41.98,-35.37,51.03,0
36,-8.6,-84.91,-19.47,12.63,170.51,21.37,0.13,0.06,1.03
37,0,-0.75,8,2.02,25.23,-3.85,0.16,-0.31,0.99
38,4.68,-98.14,-18.05,0.85,-2.82,9.25,0.91,-0.07,-0.53
39,-3.5,-13.01,-10.06,44.27,-119.44,-36,0.51,0.39,-0.97
40,13.25,-9.93,-25.03,2,0,0,0.35,0.2,1.17
41,-4.5,-28.06,-20.75,6.37,114.64,-17.56,0.18,-0.57,0.81
42,-25,-91.85,-21.35,-14.44,14.87,38.66,0.39,0.3,-0.96
43,-4,-105.7,-28.65,24.7,-5.58,13.88,0.25,-0.46,0.84
44,5.01,-116.84,-6.56,-7.92,250.13,60.34,0.04,-0.29,0.84
45,10.87,-57.06,-5.02,11.63,1.4,-14.24,0.4,-0.22,0.7
46,5.54,-13.51,-2.11,-39.78,62.3,41.14,0.76,-0.02,-0.69
47,-1,-7.38,-1.8,23.16,-250.14,-84,0.93,0,-0.49
48,0,13.22,5.26,-59.74,-115.95,-45,0.17,0.35,1
49,-4.55,-20.21,4.57,-14.88,2.28,30.15,0.24,-0.57,0.9
50,10.01,-16.06,0.11,-49.92,4.82,55.98,0.25,-0.23,0.66
51,9.6,-16.35,-9.34,9.78,-26.45,-11.49,0.9,-0.2,-0.69
52,-17.8,-77.8,-0.14,24.92,-250.14,-61,-0.29,0,0.61
53,3.62,-155.24,-1.4,0.53,9.13,13.06,0.55,-0.2,1.25
54,-3.69,-86.24,-0.78,-0.48,250.13,48.76,0.17,-0.57,0.74
55,10.6,-67.72,-12.01,-22.36,54.7,-24.5,0.11,-0.44,0.92
56,4.6,-69.54,-15.26,-25.92,-12.49,44.6,1.04,-0.02,-0.6
57,-21,-130.33,-9.58,5.74,1.46,0.69,0.54,0.11,-0.83
58,373.74,0,6,33.83,-250.14,-64,0.53,0.43,-1.08
59,-162,0,959,-67.28,-174.84,-53,0.79,0.05,-0.73
60,11.8,-94.18,-20.62,1,0,0,0.35,0.35,0.85
61,14.5,-79.6,-26.4,3.34,13.6,11.92,0.3,-0.44,0.96
62,-2.9,-83.11,-23.68,-49.22,23.34,43.89,0.05,-0.46,0.84
63,-16,-143.6,-17.09,32.83,-193.22,-56,0.57,-0.19,0.56
64,-21,-201.95,-34.88,-54.48,-250.14,-81,0.8,-0.19,-0.57
65,12,-137.14,-10.78,14.48,-79.77,-3.17,0.4,0.36,-0.95
66,-6,-118.4,-15.14,63.34,-20.4,30.88,0.26,-0.38,0.63
67,11,-117.3,-22.25,-30.15,225.73,23.6,0.47,-0.07,-0.78
68,0.1,-112.27,-20.93,32.99,194.48,5.08,0.47,0.4,-1.12
69,-13,-209.62,-29.1,-67.27,54.53,42.39,0.36,0.17,-0.89
70,-3.9,-220.2,-4.11,3.11,-19.79,6.27,0.65,0.03,-0.88
71,3.8,-203.32,-11.78,26.8,-230.07,-68,0.36,0,-0.9
72,14,-131.73,-16.34,5.25,-27.08,-0.21,0.49,-0.03,0.35
73,3,-124.02,-15.19,9.46,250.13,78.1,0.09,-0.46,0.69
74,11,-113.66,-28.3,19.43,15.47,-7.44,0.09,-0.26,0.8
75,-14,-157.59,-19.98,-36.98,47.73,35.65,2,0,20.86
76,-21,-215.87,-32.77,7.45,-80.95,-10.58,0.27,0.29,0.93
77,0,-228.46,-27.6,-53.38,-91.91,-32,0.28,-0.2,0.93
78,8,-225.38,-9.95,77.6,-66.65,14.84,0.01,-0.44,0.8
79,6.1,-161.9,-16.97,-12.52,21.92,4.22,0.41,0.29,-0.95
80,1.31,-107.9,-7.26,40.92,250.13,78.99,0.45,-0.1,1.3
81,10.9,-90.67,-24.64,-55.52,35.33,49.12,0.24,-0.4,0.76
82,1.62,-92.08,-24.03,1.01,0,0,0.15,-0.34,0.86
83,-17,-147.35,-16.94,3.15,-99.55,-18.73,0,20.71,-0.18
84,-15,-173.13,-35.14,52.21,-30.17,9.47,0.38,0.06,0.83
85,20,-122.28,-13.16,-16.54,24.81,5.7,0.04,-0.53,0.73
86,-1.9,-114.69,-7.99,29.95,250.13,46.9,0.26,-0.24,0.77
87,-2,-114.98,-16.58,-0.13,-1.5,21.11,1,0.05,-0.87
88,-24,-176.12,-13.06,-29.07,54.5,30.56,0.51,0.18,1.12
89,-8,-193.16,-25.98,56.23,-250.14,-77,0.35,-0.58,0.88
90,3.86,-202.93,-4.85,-9.95,250.13,31.04,0.79,-0.12,-0.63
91,1.09,-190.23,-7.38,3.35,76.96,-8.99,0.56,0.21,-1.03
92,20.46,-122.45,2.44,-6.07,53.79,4.27,0.39,0.48,-1.05
93,1.49,-105.55,1.57,-39.65,27.7,21.37,0.77,0.18,-0.93
94,12.7,-92.96,-13.76,29.63,-250.14,-62,0.02,-0.35,0.84
95,-8,-117.72,-9.22,21.41,10.59,4.45,0.55,-0.24,0.62
96,2.45,-197.62,-3.52,29.82,15.4,-17.06,0.72,-0.08,-0.64
97,1.48,-184.42,-7.49,-41.44,29.51,50.8,0.45,0.24,-0.95
98,12.15,-117.02,0.15,4.8,-48.45,-5.69,0.6,0.07,-0.13
99,7.92,-95.8,-9.12,4.44,-250.14,-58.7,0.8,-0.17,-0.65
100,-20,-154.4,4.51,-45.41,-97.27,-42,0.53,0.52,-1.13
101,-23,-212.76,-12.92,1.26,0,20.5,0.67,0.13,-0.77
102,0,-89.31,4,-18.69,52.82,29.25,0.45,-0.02,1.28
103,-2.33,-124.7,3.01,47.03,-250.14,-64,0.11,-0.6,0.76
104,1.11,-107,0.9,2.4,250.13,32.35,0.02,-0.27,0.86
105,5.53,-95.86,-10.13,20.88,25.73,-38.61,0.55,-0.09,-0.89
106,-18,-203.85,-26.12,-64.11,23.94,52.38,0.73,0.18,-0.82
107,1.15,-200.85,-0.21,27.37,-68.06,-22.6,0.56,0.1,-1.05
108,-4.44,-123.69,2.5,38.05,-27.63,19.91,0.34,0.49,-1.03
109,13.1,-112.02,-8.98,20.35,250.13,50.95,1.06,-0.03,-0.93
110,-1.4,-119.94,-8.26,1,1.13,0,0.3,0.27,0.94
111,-15,-180,-7.38,2.24,93.26,-38.37,0.29,-0.31,1.09
112,-10,-199.09,-18.49,24.6,-250.14,-47,-0.06,-0.41,0.91
113,2.87,-208.79,4.87,-76.71,-126.82,-75,1.08,0.15,-0.69
114,2.26,-108.27,8.13,-11.63,12.62,5.59,0.28,-0.62,0.72
115,7.55,-90.96,1.75,1.7,250.13,29.53,0.44,0.58,-1.14
116,-16,-150.22,12.71,-16.24,53,-38.9,0.53,0.23,-0.84
117,-19,-209.21,0.06,4.64,-5.14,0.09,0.99,0.22,0.59
118,5.92,-223.44,27.55,-50.21,-118.32,-51,0.72,-0.13,1.29
119,8.38,-154.26,27.13,105.27,-64.69,12.4,0.13,-0.54,0.66
120,-10,-142.67,31.57,1.47,161.66,0.86,0.53,-0.26,1.06
121,13.6,-131.72,13.05,-4.96,250.13,43.94,-0.02,-0.49,0.82
122,-3.7,-122.09,15.68,-62.72,26.59,48.92,-0.2,-0.44,0.86
123,-13,-215.59,2.88,21.82,-250.14,-65,0.57,0.26,-0.99
124,-5.8,-225.07,10.01,-56.32,-153.92,-67,0.79,0.2,-0.92
125,5.16,-223.69,19.99,-16.63,196.88,9.42,0.34,0.14,0.89
126,13.2,-154.12,24.58,-2.45,250.13,26.49,0.5,-0.34,0.94
127,9.2,-103.71,7.74,17.56,-102.14,-44,0.19,-0.45,0.81
128,-2.17,-102.99,9.52,45.95,-18.59,10.11,0.97,-0.15,-0.69
129,-12,-162.65,14.6,-1.53,250.13,36.61,0.59,0.32,-1.07
130,-19,-189.73,-5.31,-13.23,73.61,-41,0.38,0.42,-0.9
131,3.45,-196.35,20.71,-38.6,105.08,39,0.19,-0.54,0.79
132,1.46,-186.31,17.49,-21.65,24.56,16.82,-0.02,-0.4,0.89
133,7.65,-119.72,17.46,38.2,-144.29,-48,0.6,0.28,-0.36
134,13.95,-98.35,-8.32,-45.33,-250.14,-92,0.52,0.3,1.24
135,0.02,-95.78,-7.65,-2.11,9.04,3.42,0.23,-0.48,0.8
136,-28.5,-154.62,5.14,-21.23,-5.39,-11.2,0.08,-0.59,0.78
137,3.22,-189.78,19.42,-60.92,21.22,31.76,-0.08,-0.35,0.85
138,0.22,-143.46,19.31,7.48,0.08,2.17,0.71,-0.12,-0.08
139,-7.08,-63.14,24.4,-77.67,-113.73,-44,0.73,0.18,-0.72
140,12.67,-54.26,6.3,83.75,-78.89,-26.9,0.43,0.53,0.77
141,-17,-115.36,10.67,-11.63,76.41,9.98,0.53,-0.21,1.06
142,-17,-150.42,-4.02,-3.85,250.13,34.89,-0.1,-0.35,0.84
143,2.1,-153.08,24.75,-11.24,48.73,3.31,0.88,0.03,-0.59
144,0,0,0,-40.29,11.25,38.02,0.54,0.47,-1.04
145,2.45,-99.46,20,18.94,191.98,-10.3,0.36,0.44,-0.88
146,6.86,-34.3,19.1,-52.77,74.59,12.56,1.22,0.19,-0.98
147,7.6,-24.61,6.03,-6.4,33.57,7.88,0.35,0.43,0.92
148,-6.66,-50.42,13.12,0.89,-123.4,-17.9,0.42,-0.41,0.95
149,9.48,-69.83,19.12,1.5,-69.31,-34.07,0.04,-0.44,0.81
150,-10.6,-49.43,15.66,-0.19,250.13,34.53,0.3,-0.19,0.56
151,4.37,-14.7,-1.79,6.87,102.93,10.56,0.96,-0.18,-0.6
152,-12.6,-49.84,6.81,-31.86,44.21,16.18,0.03,-0.02,0.48
153,-23,-112.31,-4.47,50.53,-250.14,-89,0.21,0.3,1.16
154,-1.05,-125.59,6.51,-58.86,-250.14,-68,0.2,-0.69,0.75
155,0.89,-119.24,6.6,32.67,-85.33,-10.8,0.49,0.36,-0.96
156,-2.92,-53.89,0.01,1.54,-1.72,-3.81,0.29,0.23,0.68
157,8.22,-47.11,-16.69,4.23,72.6,-25.03,0.61,-0.07,1.26
158,-20,-107.88,-9.76,-83.79,-12.04,61.4,0.61,0.26,-1.19
159,-11,-133.53,-29.07,-1.86,-3.56,8.48,0.6,0.4,-0.86
160,-7,-148.72,-5.91,-7.64,29.96,2.97,0.36,0.25,1.08
161,2.59,-125.03,-8.03,-13.61,250.13,32.7,1,6.35,0
162,9.04,-60.14,-8.24,-28.75,53.16,-15.8,0.35,-0.46,0.92
163,0.86,-46.78,-10.91,-88.66,29.33,56.82,0.63,0.23,-1.19
164,-4.1,-61.38,-21.14,-49.76,-172.47,-51,0.48,0.11,-0.87
165,20.82,0,8.79,0,20.5,0.66,1.06,-0.13,-0.94
166,0,-10.56,39.49,-14.32,104.86,2.03,-0.07,-0.44,0.69
167,2.74,-145.38,3.03,-59.26,43.64,43.96,0.04,-0.22,0.88
168,7.67,-79.27,-12.18,-8.3,213.4,10.06,0.84,-0.17,-0.37
169,3.25,-10.38,-19.65,-28.44,143.27,-31,0.89,0.14,-1.15
170,2.04,-1.56,-21.69,-91.3,167.5,70.6,0.37,0.22,1.18
171,-4.6,-31.71,-21.67,35.51,-250.14,-74,0.21,-0.59,0.9
172,-25,-95.59,-39.05,-59.97,-216.13,-83,-0.09,-0.3,0.82
173,8.94,-47.75,-23.29,55.98,-59.04,-2.69,0.83,-0.22,-0.52
174,2.73,-21.08,-20.33,-8.21,5.77,-1.34,0.57,0.25,-1.25
175,4.19,-10.3,-28.15,3.42,250.13,27.69,0.5,0,-0.93
176,3.72,-11.24,-30.93,-32.15,45.56,-50.4,0.24,-0.18,-0.66
177,-17,-135.42,-32.17,-49.27,90.82,62.96,0.18,-0.58,0.67
178,-2,-152.34,-22.18,5.82,16.15,11.47,0,-0.37,0.9
179,0,-147.51,-19.97,33.92,-250.14,-54,0,0,0
180,15.9,-61.37,-35.38,-69.92,-178.25,-85,0.68,-0.05,-0.79
181,2.21,-59.75,-35.4,61.46,-51.61,6.24,0.44,-0.01,1.39
182,-26,-120.97,-26.31,-5.72,71.44,15.03,0.11,-0.81,0.7
183,0.7,-163.17,-17.73,-29.7,-0.83,4.75,0.02,-0.33,0.85
184,8.47,-96.55,-19.51,-77.12,30.89,73.78,0.67,0.1,-0.99
185,-4.1,-80.31,-25.4,87.82,-74.97,4.48,0.68,-0.2,-0.88
186,14.7,-70.36,-47.62,7.66,250.13,15.08,0.47,-0.13,1.34
187,-19,-136.5,-33.16,10.22,250.13,-17.6,0.1,-0.36,0.91
188,-13,-176.03,-44.52,-8.6,27.85,1.51,0.82,-0.26,-0.37
189,0,-183.82,-16.64,-70.37,55.92,73.78,0.49,0.23,-0.98
190,0,0,0.66,86.59,-103.32,5.06,1.24,-0.12,-1.4
191,0.5,-151.7,-19.09,1.25,10.63,15.43,-0.01,-0.45,0.78
192,8.75,-85.11,-27.98,-4.34,42.13,24.53,0.95,-0.3,-0.61
193,6.4,-45.58,-38.51,90.66,-86.15,31.27,0.55,0.53,-1.18
194,11.4,-33.05,-53.23,1.48,3.08,5.9,0.66,-0.15,-0.9
195,-7.8,-51.08,-44.99,4.69,250.13,30.89,0.57,0.38,-1.15
196,-26,-114.38,-44.51,-32.76,11.17,31.44,0.8,-0.08,-0.91
197,3.1,-130.02,-25.88,37.15,-165.76,-50,0.26,0.22,0.98
198,2.61,-73.55,-26.52,-68.84,-250.14,-55,0.35,-0.26,0.89
199,-8.2,-35.84,-31.32,94.83,-119.7,3.66,1.02,-0.14,-1.02
200,18.3,6.19,-53.17,-37.71,250.13,32.8,8,-0.97,0
201,0.66,3.68,-47.95,45.82,62.89,-48.62,1.54,-0.21,-1.12
202,-21,-112.06,-51.28,-73.15,34.09,56.05,0,-0.45,0.75
203,0,-123.32,-34.39,-58.05,-250.14,-72,0.34,-0.37,0.8
204,0,-117.76,-34.06,-7.56,-2.36,11.89,0.78,-0.14,-0.56
205,7.2,-52.64,-31.57,-22.11,250.13,56.9,0.41,0.17,-0.93
206,-13,-39.96,-37.36,46.69,50.08,-36.63,0.36,-0.26,-0.01
207,16.3,-16.67,-48.98,-92.79,26.72,71.44,0.72,0.11,1.19
208,2.97,-12.08,-46.72,0.01,0,0,0,322.12,-250.14
209,-14,-74.85,-37.08,-19.36,250.13,7.47,0.51,0.5,-1.11
210,-22,-118.61,-53.42,-58.19,13.37,56.11,0.63,-0.09,-0.85
211,10.1,-39.32,-39.83,25.82,-71.18,-19.4,0.56,0.07,0.74
212,1.23,-38.36,-45.05,48.05,-133.21,-20,0.25,-0.7,0.63
213,19.1,-29.59,-64.08,-16.31,157.71,9.72,0.02,-0.41,0.93
214,-4.1,-43.41,-57.63,27.52,31,-1.68,0.92,-0.21,-0.39
215,0,-125.01,-65.29,23.63,-182.37,-43,0.53,0.02,-0.95
216,1.1,-139.75,-40.02,-40.64,-250.14,-76,0.53,0.45,-0.99
217,3.9,-73.59,-36.57,0,0,0,0.85,-0.15,-0.91
218,-4.56,-9.35,-31.89,31.22,-10,-7.55,0.17,-0.58,0.67
219,0.39,-3.08,-32.87,9.08,-11.1,-10.95,0.52,0.08,-0.99
220,19.11,10.9,-50.63,-58.79,-110.92,-52,0.43,0.36,-1.03
221,-19,-100.39,-55.73,110.95,-94.19,-4.2,0.85,-0.14,-0.98
222,1.3,-123.23,-31.44,-31.97,86.71,20.33,0.13,-0.46,0.81
223,4,-116.94,-29.05,-10.6,-87.96,-27,0.66,-0.31,-0.59
224,11,-52.35,-36.27,88.37,-52.87,14.44,-0.08,0.03,-0.05
225,250.13,0,0,-13.91,198.88,22.7,0.62,-0.06,1.36
226,9.26,-16.2,-38.79,44.4,157.05,-12,0.32,-0.68,0.56
227,-10,-109.58,-41.57,-35.03,69.47,37.15,0.22,-0.33,0.94
228,8.1,-127.72,-16.97,41.52,-88.8,-2.8,0.52,-0.09,-0.9
229,1.5,-122.99,-15.67,24.84,-26.39,7.92,0.19,-0.36,0.9
230,8,-57.81,-14.09,16.98,54.32,-34.24,0.72,0.1,-0.95
231,-10.9,-14.6,-9.22,6.15,0.91,-0.74,0.55,0.32,0.84
232,8.18,-1.74,-25.21,34.77,-228.27,-51,0.42,-0.4,0.94
233,-13,-43,-15.54,65.4,-79.1,20.63,0.27,-0.32,0.88
234,0.95,-133.29,-7.42,13.7,-25.82,12.5,0.69,-0.22,-0.5
235,-12.6,-43.83,-1.43,13.42,250.13,22.4,0.51,0.22,-0.95
236,14.5,-34.05,-20.86,-10.98,-19.92,13,1.14,0.1,-1.15
237,-1.7,-35.31,-17.88,32.65,-250.14,-82,0.31,0.47,1.1
238,-13,-97.85,-12.76,-3.61,43.95,-41.9,0.34,-0.63,0.88
239,5.79,-163.35,7.29,-28.45,40.53,46.27,0.13,-0.33,0.76
240,3.09,-158.54,5.12,-24.82,140.52,-16,0.35,-0.22,0.67
241,-9.49,-75.68,10.62,-60.18,2.3,59.39,0.82,-0.12,-0.45
242,18.5,-66.46,-14.46,7.24,-98.15,-19.88,0.73,0.16,-1.19
243,-0.2,-64.58,-10.03,-40.98,-250.14,-69,0.56,0.05,-0.94
244,-21,-127,-10.78,53.5,-44.77,-13.5,0.83,-0.06,0.16
245,0,34.88,0.72,-17.43,138.65,-16,0.49,0.09,1.24
246,-3.37,-127.36,4.01,-11.61,7.21,20.5,0.21,-0.66,0.55
247,1.94,-61.81,-1.32,39.89,1.09,10.48,0.71,-0.08,0.07
248,14.59,-37.42,-9.66,-19.05,250.13,17,0.56,-0.17,-0.78
249,-5.03,-53.67,-3.7,-14.86,194.13,-2.9,1,-0.01,-0.89
250,-21,-116.81,-9.34,12.02,-12.36,-9.29,0.49,0.26,0.92
251,-5.22,-146.61,3.18,-78.92,-143.93,-58,0.63,-0.25,1.18
252,4.06,-146.44,12.85,9,-1.15,0,0.8,-0.17,-0.53
253,2.52,-102.85,7.86,-20.39,21.08,-5.07,0.64,0.19,-1.05
254,-0.43,-30.77,9.31,11.56,44.34,-29.03,0.61,0.35,-1.02
255,5.9,-22.55,-2.38,-72.31,19.12,48.66,0.18,-0.2,0.82
256,-19,-129.4,-8.17,5.02,-76.3,-13.2,0,-0.43,0.8
257,6.66,-148.99,5.31,-0.2,-0.74,0,0.35,-0.23,0.81
258,18.51,-80.17,9.81,-4.52,250.13,48.86,0.9,-0.11,-0.69
259,-2.84,-55.6,12.45,-3.58,27.67,-22,7,-0.94,0
260,-18,-117.56,19.08,-62.28,-7.69,62.26,0,20.44,0.32
261,-1.1,-161.33,31.55,9.7,-2.37,-11.16,0.21,-0.55,0.77
262,5.27,-134.74,22.04,-21.91,-250.14,-10,0.79,-0.02,-0.74
263,12.7,-69.03,19.1,35.47,-79.31,-5.82,0.56,0.5,-1.07
264,-4.09,-63.8,31.3,0.38,1.17,0,0.43,0.07,-0.92
265,17.11,-66.23,10.27,-44.87,216.42,1.4,0.99,0.48,0.91
266,-7.08,-147.21,6.39,-0.82,70.08,41.56,0.17,-0.34,0.96
267,3.74,-155.46,28.77,15.26,-21.91,-5.5,0.54,0.09,-0.9
268,-3.11,-58.55,34.55,17.99,-120.76,-27,0.48,0.13,0.67
269,9.62,-39.76,23.86,-37.3,-250.14,-80,0.61,-0.25,1.12
270,1.94,-36.22,19.73,6,0,0,0.11,-0.54,0.69
271,-19.3,-157,5.45,94.83,-103.11,13.2,0.59,0.11,-0.95
272,-0.7,-173.81,15.41,-27.78,250.13,22.3,0.44,0.35,-0.98
273,2.06,-174.46,21.87,-13.91,67.34,-22.3,0.27,-0.09,0.79
274,20.8,-107.07,18.12,-30.64,16.56,66.82,0.19,-0.67,0.6
275,-8.9,-90.05,22,9.11,-9.85,0.11,0.05,-0.39,0.93
276,7.86,-70.57,18.42,35.96,-250.14,-71,1.09,-0.13,-0.67
277,-0.19,-67.47,17.86,-40.39,-250.14,-45,0.59,0.36,-0.9
278,5.36,-195.35,25.37,80.18,-81.08,6.3,0.88,-0.01,-0.85
279,3.24,-194.84,28.35,-16.11,33.38,4.88,0.17,0.46,0.95
280,5.83,-126.75,30.31,-25.96,250.13,37.9,0.38,-0.62,0.99
281,-5.65,-83.83,28.57,22.02,33.06,-19.31,0.12,-0.36,0.8
282,3.38,-67.47,15.95,-49.27,25.39,67.85,0.56,-0.04,-0.93
283,-21,-127.82,22.51,5.79,-250.14,-101,0.4,0.03,0.01
284,-17.3,-156.82,5.32,-0.56,-98.57,-24.3,0.58,0.3,1.28
285,-9,-170.28,31.55,-55.11,232.22,7.29,0.3,-0.8,0.52
286,8.21,-158.64,27.43,8.54,131.64,-29.24,1.22,-0.18,-0.45
287,15.8,-92.27,20.53,-31.98,14.27,27.7,0.66,-0.02,-0.9
