,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.56,-12.96,82.48,10.05,20.85,2.15,0.19,0.86,-0.35
1,2.34,-13.5,86.93,21.24,-2.11,9.03,0.25,0.95,-0.45
2,1.66,-10.51,90.82,20.75,6.78,6.42,-0.29,0.73,-0.42
3,0,125.49,45.45,-29.69,80.8,-74,0.75,0.51,-0.78
4,-20.7,-25.36,69.02,10.27,4.28,-18.15,0.63,1,-0.47
5,-4.72,-22.75,71.74,26.2,-23.56,130.2,-0.21,0.9,-0.17
6,33.74,-27.92,76.85,-29.53,-50.27,22.1,0.08,0.53,-0.71
7,5.76,-41.19,67.53,0.68,67.08,-74.1,0.89,0.58,-0.62
8,-19.1,-24.5,66.72,8.72,32.59,-77.53,0.82,0.86,-0.41
9,-20,-15.14,68.9,28.65,-61.81,109.6,-0.14,1.05,-0.42
10,17.56,-46.13,66.36,-26.52,-59.42,62.7,0.03,0.65,-0.64
11,-23.1,-34.31,67.62,8.5,46.06,-89.3,0.62,0.66,-0.71
12,-13.4,-20.8,68.47,2.77,48.59,-51.63,0.81,0.95,-0.5
13,24.53,-46.48,75.68,33.36,-105.31,94.7,-0.01,1,-0.33
14,22.94,-53.89,63.41,-41.8,-31.49,88.5,0.14,0.65,-0.73
15,-21.5,-22.81,64.91,13.47,45.85,-98.72,0.68,0.56,-0.75
16,29.13,-45,72.57,-5.5,63.18,-76.81,0.62,0.82,-0.52
17,10.29,-49.44,66.15,35.16,-93.25,112.4,-0.06,1.06,-0.29
18,-15,-42.76,62.93,-18.49,-19.27,39.5,-0.04,0.58,-0.74
19,-35.9,-13.28,72.82,-9.74,24.26,-58.15,0.68,0.53,-0.78
20,14.89,-21.02,80.2,39.76,110.06,-138,0.69,0.91,-0.53
21,27.83,-38.76,71.29,33.11,-34.11,57.5,-0.12,0.84,-0.43
22,2.43,-38.91,69.55,-28.47,-69.59,107,-0.1,0.85,-0.67
23,-5.83,-15,78.68,0.6,2.52,9.35,0.51,0.58,-0.64
24,27.73,-12.44,80.46,25.41,81.14,-105.4,1.08,0.52,-0.43
25,6.06,-20.9,72.52,14.82,9.62,-20.91,0.42,0.88,-0.51
26,-19.8,-10.28,71.63,12.84,11.11,106.66,0.1,0.93,-0.47
27,13,-7.17,90.13,-23.87,-29.14,23.3,0.37,0.73,-0.69
28,32.99,-15.2,79.99,0,44.48,-76.47,0.82,0.6,-0.64
29,-13.5,-15.65,79.98,19.54,20.82,-78.18,0.6,0.88,-0.41
30,-23.34,6.2,72.8,57.63,-10.53,50.18,0.08,0.98,-0.37
31,-9.04,11.38,84.13,-31.74,-29.06,127,0.14,0.79,-0.6
32,34.49,6.79,83.11,6.95,1.92,-52,0.5,0.61,-0.76
33,10.56,-7.38,69.66,-25.05,88.05,-90.1,0.76,0.73,-0.62
34,-24.96,10.27,68.97,47.28,21.77,-34.92,0.3,0.87,-0.5
35,-15.38,14.17,69.78,3.78,-13.2,133.18,-0.01,0.92,-0.48
36,27.14,-4.7,75.72,-45,-49.23,40.4,0.39,0.61,-0.78
37,23.57,-23.8,63.41,0.56,75.01,-96.38,0.66,0.51,-0.64
38,-23.83,6,62.21,1.9,17.79,-59.39,0.65,0.92,-0.47
39,1.51,2.72,81.22,28.36,-71.15,104.7,0.05,0.93,-0.2
40,33.88,-3.61,76.7,-41.08,-69.6,90.6,0.27,0.67,-0.7
41,4.25,-9.19,74.28,17.5,22.65,-73.94,0.84,0.46,-0.6
42,-9.26,5.54,76.89,-15.26,93.6,-85.4,0.89,0.64,-0.52
43,23.45,6.99,83.46,74.77,-12.56,5.79,0.32,0.89,-0.36
44,19.8,-8.33,76.07,-10,-20.95,130,-0.04,0.86,-0.32
45,-14.67,-9.18,68.19,-1.11,-14.23,16.43,0.46,0.54,-0.81
46,-22.19,12.43,61.64,-7.97,64.42,-123,1.01,0.49,-0.53
47,-0.65,3.99,73.7,22.72,-0.85,-33.18,0.06,0.9,-0.5
48,35.87,-13.65,65.78,31.95,9.17,90.19,0.26,0.64,-0.68
49,9.14,-24.67,51.4,-20.27,-54.15,76.4,0.82,0.54,-0.84
50,-18.4,-21.46,53.43,-25.2,1.44,-56.4,0.79,0.75,-0.65
51,-23.66,-5.09,52.08,-25.02,87.78,-85.6,0.26,0.9,-0.45
52,14.58,-7.82,67.05,47.02,-30.1,-2.49,0.17,0.86,-0.27
53,31.84,-21.46,62.71,-26.05,-68.12,138,0.24,0.63,-0.78
54,8.62,-33.77,49.57,-51.09,-37.54,35.2,1.04,0.51,-0.49
55,-21.6,-12.47,50.88,9.41,15.21,-71.24,0.69,0.75,-0.39
56,-15.05,-2.66,54.71,-7.69,59.08,-84.2,0.18,0.93,-0.25
57,16.83,-19.24,67.91,59.45,-11.26,56.31,0.06,0.88,-0.57
58,33.49,-36.31,52.06,-12.14,-52.85,122,0.33,0.52,-0.71
59,-6.7,-39.88,50.66,-47.61,-45.4,33.1,0.91,0.66,-0.58
60,-22.3,-14.63,52.48,5.69,85.02,-83.61,0.55,0.82,-0.53
61,-11,-14.18,54.85,11.63,38.87,-58.11,0.15,0.94,-0.21
62,23.17,-22.25,67.25,54.78,-67.57,64.75,-0.09,0.79,-0.85
63,25.1,-30.99,58.46,-56.63,-65.44,129,0.68,0.44,-0.72
64,-12.9,-37.78,54.91,-2.23,-12.16,-25.8,0.92,0.62,-0.46
65,-22.6,-15.3,50.98,7.07,98.89,-85.85,0.48,0.87,-0.48
66,-5.54,-9.79,64.12,6.34,-0.36,-42.68,0.02,0.85,-0.27
67,32.1,-27.52,63.71,51.69,-33.02,89.47,0.19,0.71,-0.72
68,7.65,-41.21,54.93,-29.3,-35.24,96.5,0.4,0.56,-0.87
69,-23.96,-1.97,55.35,-9.63,-24.44,-49.7,0.94,0.63,-0.57
70,-1.18,3.15,72.3,-14.87,81.08,-81,0.35,0.9,-0.5
71,32.93,-16.73,64.92,50.89,20.04,-21.3,0.05,0.86,-0.45
72,1.85,-27.45,57.89,3.66,-69.3,123.93,0.38,0.52,-0.77
73,-23.66,0.89,56.49,-30.43,-55.07,29.5,0.56,0.67,-0.85
74,-13,8.87,63.55,-3.87,66.56,-78.4,0.69,0.76,-0.55
75,30.45,5.7,74.8,6.36,82.5,-85.57,0.34,0.93,-0.44
76,13.1,-12.45,62.71,67.57,21.08,-4.56,0.09,0.84,-0.49
77,-14.1,-14.48,63.73,-22.31,-74.64,127,0.89,0.58,-0.64
78,-25.57,13.13,58.02,-22.31,-38.31,7.11,0.62,0.79,-0.59
79,-1.63,26.64,75.55,-3.18,114.75,-91.3,-0.02,0.91,-0.39
