,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.47,5.28,96.64,4.4,-4.38,0.68,0.06,0.82,0.47
1,-28.92,4.51,94.88,2.03,0.28,1.82,0.06,0.83,0.48
2,28,23.12,105.89,-2.23,-1.4,-111.6,0.12,1.24,0.53
3,-69.7,-10.58,29.41,55.4,68.56,108.11,-0.47,0.3,0.4
4,-36.32,31.46,77.13,-155.15,14.38,56.9,0.33,0.71,0.22
5,34.62,44.58,86.07,-126.82,-124.55,-2,0.64,0.4,1.25
6,7.06,43.71,27.56,193.37,166.91,-139,0.02,0.35,1.23
7,-64.79,-17.33,2.39,39.98,51.75,133.68,-0.34,0.43,-0.02
8,-40.7,14.2,54.42,-231.13,6.4,27.25,0.84,0.3,1.04
9,35.82,14.64,68.54,-98.82,-232.4,-25,-0.46,0.56,0.55
10,3.84,10.64,6.02,188.25,110.24,-145,-0.49,0.25,0.23
11,-64.79,-3.61,-6.08,61.26,-4.83,137.76,0.42,0.85,0.23
12,-25.43,23.06,52.19,-250.14,-9.56,14.8,0.29,0.25,1.32
13,23.03,35.28,67.67,-49.38,-53.6,-250,-0.33,0.33,0.65
14,9.1,49.05,11.7,229.44,102.66,-98,-0.45,0.39,0.08
15,-49.18,16.97,-7.23,59.36,41.68,82.26,0.59,0.83,0.07
16,-57.61,32.93,43,-222.08,66.48,35,0.43,0.55,1.27
17,19.93,34.42,72.93,-77.84,-118.31,-18,-0.01,0.34,1.08
18,19.52,35.13,30.73,198.07,66.82,-222,-0.59,0.33,0.1
19,-19.32,16.67,5.58,122.69,1.61,76.95,0.18,0.59,0.02
20,6.03,37.72,67.06,-169.79,11.08,75.3,0.28,0.53,1.28
21,23.51,42.61,59.74,-99.31,-66.53,-74,-0.1,0.6,0.91
22,-6.2,6.66,2.41,111.18,77.13,-203,-0.6,0.39,0.32
23,-64.79,11.86,-0.35,122.42,6.49,21.52,0.04,0.75,-0.09
24,-12.35,17.54,46.87,-31.91,26.17,90.76,0.68,0.58,1.21
25,18.77,16.32,62.93,-224.65,-133.4,-2,0.24,0.17,1.15
26,9,17.62,23.67,-12,23.9,-250,-0.5,0.69,0.4
27,-53.04,-4.05,0.84,182.3,19.58,-47.7,-0.43,0.63,0.05
28,-32.49,12.06,38.82,62.95,-7.56,72.19,0.36,0.57,0.16
29,-6.82,8.47,60.08,-156.69,12.89,34.7,-0.22,0.43,1.32
30,18.76,1.26,75.58,-90.87,-85.79,-204,-0.22,0.31,0.99
31,-15.1,-33.98,11.4,149.6,61.95,-124,-0.28,0.72,0.44
32,-57.2,-19,26.29,82.66,-15.34,-26.2,-0.12,0.69,-0.11
33,-24.01,-4.63,69.53,59.66,-29.21,72.45,0.17,0.35,0.71
34,7.35,-16.55,97.2,-250.14,-139.6,-5,-0.09,0.09,1.13
35,23.45,-11.48,67.96,61,54.01,-220.9,-0.11,0.62,0.88
36,-45.9,-56.5,20.31,171.85,53.56,-92.3,-0.36,0.37,0.32
37,-37.2,-34.1,48.37,116.4,-54.48,28.3,0.33,0.6,-0.1
38,-10.2,-37.09,82.98,-111.66,22.25,90.5,0.85,0.49,1.43
39,25.39,-46.2,94,-182.6,-177.47,-1,-0.23,0.32,0.92
40,-0.52,-73.44,29.21,104.66,72.92,-133,-0.22,0.7,0.29
41,-64.4,-60.36,44.21,136.4,-20.07,-39,-0.16,0.68,-0.03
42,-26,-41.01,84.05,45.39,-44.76,98.03,0.69,0.53,0.65
43,15.5,-54.7,108.45,-250.14,-110.66,-2,-0.11,0.09,1.34
44,13.06,-51.92,60.75,64.21,39.91,-247.7,-0.49,0.47,0.62
45,-61.8,-72.07,38.5,162.39,62.96,-100,-0.39,0.78,0.02
46,-25.4,-41.88,70.06,93.8,-60.93,55.66,0.43,0.51,0.12
47,0.8,-34.34,108.3,-181.51,8.71,50.22,0.2,0.38,1.49
48,22.6,-31.55,107.83,-82,-88.18,-238,-0.39,0.39,0.77
49,-9.4,-43.08,43.02,129.25,105.93,-98,-0.33,0.64,0.31
50,-63.9,-32.63,49.19,155.68,19.48,3.09,0.57,0.66,0.44
51,-35.2,-17.62,88.12,4.44,2.73,87.37,0.09,0.03,1.43
52,5.46,-23.1,130.23,-250.14,-45.69,-36,-0.24,0.6,0.61
53,22.56,-32.72,96.72,31.56,35.71,-247,-0.52,0.52,0.08
54,-19.9,-63.3,46.82,157.01,52.4,-135,0.16,0.37,0.11
55,-48.3,-43.81,71.84,176.33,-32.03,21.1,0.34,0.51,1.44
56,-0.1,-31.6,105.85,-114.54,-35.82,80,-0.22,0.33,0.96
57,10.42,-32.78,98.69,-187.49,-125.75,-7,-0.22,0.44,0.45
58,5.32,-47.53,50.18,105.13,66.21,-186,-0.25,0.58,0.25
59,-65,-69.3,44.77,141.07,38.85,-0.38,0.45,0.69,0.24
