,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.61,-75.48,82.99,148.44,11.06,2.34,-0.01,-1.05,0.84
1,10.1,-55.43,139.55,250.13,68.18,39.08,0,-1.03,0.5
2,7.38,-88.14,150.14,58.19,-133.73,28.5,0.41,0.42,0.19
3,-0.4,-86.85,144.39,-4.69,-4.72,-1.61,0.43,0.56,0.66
4,-22,-102.71,131.74,-37.52,-75.95,-86,0.12,0.52,0.26
5,8.85,-131.23,82.59,-174.92,-125.22,34,0.43,-0.07,0.62
6,40.8,-112.5,49.87,-110.06,59.97,157,0.91,-1.22,0.36
7,1.39,-100.64,45.52,1.04,33.08,5.34,0.44,-1.05,0.2
8,-64.7,-56.67,50.22,34.41,166.51,-250,0.89,-1.17,0.32
9,-50.9,-14.05,69.11,83.71,163.82,-195,0.05,0,0.23
10,-1.19,-13.84,75.04,29.08,-0.63,-4.59,0.08,0.55,0.74
11,2.54,-10.61,74.08,0.85,10.15,9.82,-0.06,0.59,0.58
12,64.7,-65.51,101.42,124.47,-210.85,250,0.85,-0.24,0.11
13,48.8,-112.39,69.04,-107.03,-189.23,18,0.98,-0.76,0.05
14,13.2,-122.05,55.66,-31.13,-59.73,50.9,-0.43,-1.24,-0.01
15,-1.5,-113.72,55.4,20.5,15.35,-5.84,0.17,-1.02,0.12
16,-65,-101.42,100.33,196.17,36.34,-250,1.04,-1.36,0.85
17,42.6,-68,131.34,145.35,118.4,164,0.03,-0.18,0.29
18,1.92,-56.12,135.55,30.62,40.41,7.43,0.28,0.54,0.43
19,-5.1,-54.5,131.06,-2.76,-0.85,-19.7,0.16,0.57,0.65
20,44.7,-111.46,28.04,-147.25,-146.79,-9,0.25,0.05,0.21
21,14,-118.51,17.55,-226.3,-91.15,172,0.92,-0.92,0.46
22,-10.8,-83.67,13.96,-27.69,-41.9,53.9,0.53,-1.05,0.22
23,-64.7,-48.72,15.41,-2.21,125.62,-41.8,0.76,-1.24,-0.08
24,-23.8,-46.31,34.14,12.06,137.52,-250,0.72,-0.33,0.07
